,city,lat,lon,population
411,Parlier,36.609,-119.543,15618
412,La Palma,33.85,-118.041,15428
413,Avocado Heights,34.038,-118.003,15426
414,Pacific Grove,36.619,-121.926,15413
415,Kerman,36.725,-120.062,15282
416,Coto de Caza,33.596,-117.586,15056
417,Susanville,40.42,-120.613,15010
418,Tehachapi,35.127,-118.475,14928
419,Alamo,37.855,-122.013,14905
420,Taft,35.127,-119.424,14898
421,Livingston,37.388,-120.725,14896
422,Alpine,32.844,-116.758,14878
423,Lamont,35.265,-118.916,14799
424,Lemon Hill,38.517,-121.457,14733
425,North Fair Oaks,37.475,-122.204,14372
426,North Auburn,38.931,-121.082,14269
427,Mill Valley,37.908,-122.542,14259
428,Salida,37.714,-121.087,14229
429,California City,35.158,-117.872,14198
430,Hawaiian Gardens,33.83,-118.073,14159
431,El Sobrante,33.872,-117.462,13881
432,Oak Park,34.185,-118.767,13853
433,Sun Village,34.56,-117.956,13819
434,Avenal,36.031,-120.116,13496
435,Olivehurst,39.082,-121.555,13464
436,Big Bear City,34.254,-116.79,13463
437,Grover Beach,35.12,-120.62,13459
438,Fortuna,40.586,-124.142,13449
439,Carpinteria,34.396,-119.512,13385
440,Solana Beach,32.994,-117.258,13296
441,Palos Verdes Estates,33.787,-118.398,13273
442,San Marino,34.122,-118.113,13048
443,Lakeland Village,33.648,-117.371,13002
444,Bonita,32.665,-117.03,12706
445,Commerce,33.996,-118.152,12661
446,Grand Terrace,34.031,-117.313,12584
447,Muscoy,34.155,-117.348,12562
449,Marysville,39.152,-121.584,12476
448,San Anselmo,37.982,-122.57,12476
450,Delhi,37.431,-120.776,12301
451,Clayton,37.94,-121.93,12265
452,Larkspur,37.939,-122.531,12254
453,Home Gardens,33.878,-117.512,12153
454,Kingsburg,36.524,-119.56,12108
455,Emeryville,37.838,-122.293,12086
456,Camp Pendleton South,33.228,-117.379,11936
457,Healdsburg,38.623,-122.865,11845
458,Malibu,34.037,-118.784,11820
459,Newman,37.316,-121.021,11784
460,Scotts Valley,37.056,-122.012,11757
461,View Park-Windsor Hills,33.996,-118.348,11756
462,Lake Los Angeles,34.61,-117.834,11751
463,Diamond Springs,38.692,-120.839,11731
464,Mendota,36.756,-120.378,11716
465,Tamalpais-Homestead Valley,37.879,-122.538,11689
466,Alum Rock,37.37,-121.824,11551
467,Magalia,39.823,-121.608,11476
468,Signal Hill,33.803,-118.168,11421
469,Los Alamitos,33.797,-118.059,11399
470,Hillsborough,37.557,-122.359,11387
471,Winton,37.385,-120.617,11288
472,Canyon Lake,33.688,-117.262,11280
473,Piedmont,37.823,-122.23,11135
474,Rossmoor,33.789,-118.08,11128
