city,lat,lon,population
Los Alamos,34.738,-120.278,1634
Black Point-Green Point,38.112,-122.519,1622
Temelec,38.258,-122.498,1620
Tuolumne City,37.962,-120.243,1583
Descanso,32.87,-116.628,1568
Linden,38.019,-121.099,1547
Big Pine,37.166,-118.295,1524
Home Garden,36.302,-119.636,1521
Pine Valley,32.842,-116.511,1477
Lebec,34.845,-118.899,1472
Green Valley,38.261,-122.162,1472
Buttonwillow,35.409,-119.441,1443
Mountain Mesa,35.641,-118.405,1396
Pioneer,38.435,-120.585,1386
Lewiston,40.697,-122.822,1383
Redway,40.121,-123.822,1358
Lower Lake,38.912,-122.608,1355
Thermal,33.626,-116.131,1333
Berry Creek,39.631,-121.405,1313
Avila Beach,35.197,-120.719,1311
Herlong,40.142,-120.14,1295
Del Rey,36.656,-119.599,1261
Laytonville,39.672,-123.494,1198
Yosemite Valley,37.741,-119.578,1169
Sunnyside-Tahoe City,39.15,-120.161,1164
Tahoe Vista,39.248,-120.054,1158
Big River,34.139,-114.36,1149
Alpaugh,35.888,-119.487,1145
Hasley Canyon,34.482,-118.666,1145
Palo Cedro,40.551,-122.236,1143
Mountain Ranch,38.251,-120.512,1141
Gerber,40.061,-122.148,1140
Covelo,39.802,-123.25,1140
Camanche North Shore,38.244,-120.954,1139
Matheny,36.171,-119.352,1137
Kettleman City,36.009,-119.963,1136
Sea Ranch,38.716,-123.453,1134
Johnstonville,40.379,-120.585,1132
Santa Margarita,35.389,-120.608,1122
Taft Mosswood,37.914,-121.283,1104
Fort Dick,41.866,-124.153,1097
Shandon,35.654,-120.383,1085
Crowley Lake,37.569,-118.746,1077
West Park,36.706,-119.852,1071
Knights Landing,38.798,-121.718,1036
Beale AFB,39.11,-121.354,1020
Julian,33.074,-116.589,1019
Silverado Resort,38.354,-122.256,1018
Chalfant,37.51,-118.375,1005
Talmage,39.131,-123.165,1003
Cleone,39.493,-123.781,968
Herald,38.291,-121.232,967
Springville,36.117,-118.834,965
La Honda,37.318,-122.265,960
Mountain Gate,40.718,-122.326,952
Boonville,39.012,-123.374,947
Santa Susana,34.258,-118.666,935
Hopland,38.969,-123.117,920
Lake Don Pedro,37.646,-120.337,901
Stratford,36.188,-119.822,901
Dorris,41.964,-121.92,897
Upper Lake,39.165,-122.905,896
Mi-Wuk Village,38.057,-120.179,880
Walker,38.534,-119.458,858
Mendocino,39.311,-123.791,855
East Tulare Villa,36.204,-119.282,853
Summerland,34.426,-119.589,844
Happy Camp,41.81,-123.389,844
Occidental,38.4,-122.935,823
Aguanga,33.452,-116.856,805
Indio Hills,33.841,-116.248,782
Forest Ranch,39.895,-121.67,772
Greeley Hill,37.757,-120.129,747
Bootjack,37.467,-119.889,743
Middletown,38.752,-122.622,739
Challenge-Brownsville,39.465,-121.263,719
Etna,41.458,-122.895,718
Kenwood,38.415,-122.539,716
Hickman,37.623,-120.753,712
Loyalton,39.677,-120.245,702
Fort Jones,41.608,-122.841,692
Mokelumne Hill,38.306,-120.706,691
Gasquet,41.843,-123.973,685
Junction City,40.727,-123.062,682
Lakehead,40.901,-122.392,670
Bodega Bay,38.325,-123.031,665
New Cuyama,34.942,-119.681,660
San Simeon,35.618,-121.138,658
Valley Acres,35.209,-119.411,656
Klamath,41.532,-124.006,632
Niland,33.239,-115.515,631
Cedarville,41.528,-120.175,606
Catheys Valley,37.437,-120.094,604
Friant,36.985,-119.713,604
Independence,36.827,-118.213,603
Cold Springs,38.747,-120.876,582
Shelter Cove,40.039,-124.056,580
Allensworth,35.85,-119.389,575
Newell,41.89,-121.368,566
River Pines,38.545,-120.748,566
Concow,39.773,-121.52,553
San Ardo,36.024,-120.907,543
Bridgeport,38.256,-119.212,542
Baker,35.277,-116.072,541
Ballico,37.452,-120.704,538
Ballard,34.634,-120.116,529
Lockwood,35.941,-121.08,516
