city,lat,lon,population
Twentynine Palms,34.1356,-116.0542,26073.0
El Cerrito,37.9161,-122.3108,25508.0
South Pasadena,34.1161,-118.1504,25329.0
Riverbank,37.736,-120.9355,24881.0
Lathrop,37.8227,-121.2766,24483.0
Loma Linda,34.0483,-117.2612,24482.0
Dinuba,36.5433,-119.3871,24461.0
San Fernando,34.2819,-118.439,24322.0
Seal Beach,33.7414,-118.1048,23896.0
Calabasas,34.1383,-118.6608,23853.0
Coronado,32.6859,-117.1831,23731.0
Half Moon Bay,37.4636,-122.4286,23653.0
Oakdale,37.7666,-120.8472,23596.0
Cudahy,33.9606,-118.1854,23569.0
Patterson,37.4716,-121.1297,22930.0
Laguna Beach,33.5422,-117.7831,22827.0
Marina,36.6844,-121.8022,22781.0
Corcoran,37.978,-122.0311,22581.0
Millbrae,37.5985,-122.3872,22394.0
Arvin,35.2018,-118.8331,22155.0
Port Hueneme,34.1807,-119.2082,21926.0
Shafter,35.5005,-119.2718,21734.0
Duarte,34.1394,-117.9773,21271.0
Dixon,38.4455,-121.8233,20803.0
South El Monte,34.052,-118.0467,20574.0
American Canyon,38.1749,-122.2608,20475.0
Lomita,33.7922,-118.3151,20320.0
Agoura Hills,34.1533,-118.7617,20222.0
La Cañada Flintridge,34.2068,-118.2,20009.0
Orinda,37.8771,-122.1797,19926.0
Albany,37.8869,-122.2977,19696.0
Blythe,33.6172,-114.5892,19682.0
Hermosa Beach,33.8622,-118.3995,19320.0
Pinole,38.0044,-122.2989,19250.0
Red Bluff,40.1785,-122.2358,19039.0
Rancho Mirage,33.7397,-116.4128,18528.0
Chowchilla,37.123,-120.2602,18310.0
Imperial,32.8476,-115.5694,18120.0
Greenfield,36.3208,-121.2438,17646.0
Santa Fe Springs,33.9472,-118.0853,17630.0
Lakeport,39.043,-122.9158,17466.0
Coalinga,36.1397,-120.3602,17179.0
Crescent City,41.7559,-124.2017,16849.0
Live Oak,36.9836,-121.9805,16837.0
Lindsay,36.203,-119.0882,16713.0
El Segundo,33.9192,-118.4165,16610.0
Artesia,33.8658,-118.0831,16601.0
Solvang,34.5958,-120.1376,16540.0
Ripon,37.7395,-121.1354,16386.0
Clearlake,38.9582,-122.6264,15961.0
Fillmore,34.3992,-118.9182,15954.0
King City,36.2127,-121.126,15887.0
Laguna Woods,33.6103,-117.7253,15850.0
McFarland,35.678,-119.2293,15651.0
Parlier,36.6116,-119.5271,15618.0
La Palma,33.8464,-118.0467,15428.0
Pacific Grove,36.6177,-121.9166,15413.0
Kerman,36.7236,-120.0599,15282.0
Susanville,40.4163,-120.653,15010.0
Tehachapi,35.1322,-118.449,14928.0
Taft,35.1425,-119.4565,14898.0
Livingston,37.3869,-120.7235,14896.0
Mill Valley,37.906,-122.545,14259.0
California City,35.1258,-117.9859,14198.0
Hawaiian Gardens,33.8314,-118.0728,14159.0
Avenal,36.0041,-120.129,13496.0
Grover Beach,35.1216,-120.6213,13459.0
Fortuna,40.5982,-124.1573,13449.0
Carpinteria,34.3989,-119.5185,13385.0
Solana Beach,32.9912,-117.2711,13296.0
Palos Verdes Estates,33.8006,-118.3901,13273.0
San Marino,34.1214,-118.1065,13048.0
Commerce,34.0006,-118.1598,12661.0
Grand Terrace,34.0339,-117.3137,12584.0
Marysville,39.1457,-121.5914,12476.0
Clayton,37.941,-121.9358,12265.0
Larkspur,37.9341,-122.5353,12254.0
Kingsburg,36.5138,-119.554,12108.0
Emeryville,37.8313,-122.2852,12086.0
Healdsburg,38.6105,-122.8692,11845.0
Malibu,34.005,-118.8102,11820.0
Newman,37.3138,-121.0208,11784.0
Scotts Valley,37.0511,-122.0147,11757.0
Mendota,36.7536,-120.3816,11716.0
Signal Hill,33.8045,-118.1678,11421.0
Los Alamitos,33.8031,-118.0726,11399.0
Canyon Lake,33.685,-117.2731,11280.0
Piedmont,37.8244,-122.2316,11135.0
Orange Cove,36.6244,-119.3137,11059.0
Sierra Madre,34.1617,-118.0528,10793.0
