city_name,PC1,PC2,lat,lon
Desert Hot Springs,-1.9354598338480797,0.32975685893100803,33.955,-116.543
Brea,-1.5104788190486271,-0.11316096300558898,33.925,-117.866
Los Banos,0.40342837838487666,-0.15087813389389726,37.063,-120.841
Montclair,-1.52193727639498,-0.014410044258471033,34.071,-117.698
La Presa,-2.1564677512207022,-0.19301482631657985,32.711,-117.003
Wildomar,-1.8019809190931904,-0.0058100829023635114,33.617,-117.258
Moorpark,-1.0709468888731977,-0.33685331396405777,34.286,-118.877
Foothill Farms,1.0552160346569726,0.16831336952469605,38.687,-121.348
Bell,-1.3910434598474675,-0.19971217578865263,33.98,-118.18
Manhattan Beach,-1.3467717818261509,-0.297794275221397,33.89,-118.397
Pleasant Hill,1.0748750223340497,-0.2896016058699145,37.954,-122.076
Oildale,-0.6809178816301342,-0.04588154356691537,35.425,-119.028
Menlo Park,0.9597342040007913,-0.4644391695871397,37.469,-122.167
Arcata,2.6002204659468067,-0.07627254432224384,40.862,-124.076
Grass Valley,1.1186612462615915,0.4259370056749424,39.224,-121.052
Adelanto,-1.4538005255868387,0.22297681983606388,34.582,-117.44
Sonoma,1.3012747149803003,-0.31510905858016075,38.29,-122.46
Placerville,0.8879674406902638,0.3618692806258842,38.731,-120.798
Fallbrook,-1.8866158529832346,-0.06945275467936907,33.369,-117.226
Banning,-1.8213808969148606,0.2102968798566457,33.946,-116.899
San Pablo,1.1648146328119513,-0.3741601742066729,37.963,-122.342
Burlingame,1.0603117970214753,-0.4950632147729661,37.586,-122.367
Barstow,-1.4978052480089223,0.4367833164897702,34.866,-117.047
Santa Paula,-0.9879116105877016,-0.38042761654784124,34.352,-119.07
South Lake Tahoe,0.6828250342532665,0.6913735498804078,38.939,-119.983
Saratoga,0.8533973226235649,-0.47827889602877394,37.268,-122.026
Los Altos,0.9065802919671256,-0.4716725082485226,37.368,-122.097
Wasco,-0.5192024864804969,-0.1065529251773093,35.594,-119.367
Vineyard,0.982028250550143,0.11414982295780762,38.474,-121.319
Ladera Ranch,-1.6963557278370374,-0.15209203700270701,33.549,-117.642
Windsor,1.4910827342914827,-0.354247897939338,38.542,-122.809
Belmont,1.0157982844608682,-0.49300014577026385,37.515,-122.296
Lemoore,-0.1682710245940268,-0.03836099362586344,36.295,-119.798
West Whittier-Los Nietos,-1.4286477015922503,-0.16449950832882065,33.976,-118.069
Lafayette,1.0704444977328706,-0.322240482685497,37.892,-122.119
Brawley,-2.5601269962513986,0.37028200223469443,32.978,-115.529
Twentynine Palms,-2.0342210577848636,0.5439115421167501,34.148,-116.066
Bay Point,1.0607713474135858,-0.22826433882163932,38.033,-121.961
South Pasadena,-1.359724471913867,-0.15330499946129705,34.11,-118.157
Yucca Valley,-1.9249252694215506,0.41966841447248104,34.123,-116.422
San Fernando,-1.2146998546390124,-0.19130666748452874,34.289,-118.436
Patterson,0.6295586827421393,-0.13007839332982207,37.476,-121.154
Laguna Beach,-1.6585190276130766,-0.19232031151161888,33.545,-117.761
Corcoran,-0.30908576699700163,-0.023701794754129063,36.084,-119.561
Ramona,-2.097350147287752,-0.051240190313526,33.047,-116.877
Dixon,1.1399267596696636,-0.059891812585138426,38.447,-121.825
South San Jose Hills,-1.472006293070151,-0.09961674828634748,34.012,-117.904
Blythe,-2.6660889932325333,0.8612874590931716,33.622,-114.619
Red Bluff,1.7926575621685394,0.3199395824442015,40.174,-122.241
Chowchilla,0.21870839542611265,0.06194284691305624,37.11,-120.235
Mountain House,0.8468944262034823,-0.16924185256220697,37.774,-121.545
Greenfield,0.3147214116153521,-0.5046124098405761,36.323,-121.245
Nipomo,-0.31590994387399135,-0.6458616548196363,35.032,-120.499
Lakeport,1.676723749537492,-0.24273580828000596,39.039,-122.922
Coalinga,-0.04052477357553495,-0.2569870674725488,36.143,-120.326
Crescent City,2.9099534545346226,0.15867551048785966,41.773,-124.19
Rosedale,-0.6332952369105231,-0.11502835685109503,35.389,-119.206
Truckee,0.8707532032945073,0.746788064333076,39.346,-120.185
Lindsay,-0.4265062945684053,0.16785753565079747,36.208,-119.09
Bostonia,-2.14222172362724,-0.14268834821632337,32.819,-116.948
Los Osos,-0.12677024269044235,-0.6705806239127013,35.307,-120.825
Ripon,0.7015344335199347,-0.043014454158280924,37.742,-121.131
East San Gabriel,-1.3816633153169116,-0.12538722034587257,34.12,-118.081
